"ID","Business_Sourced"
"FIN1009528",0.384800046682358
"FIN1009529",0.417628794908524
"FIN1009530",0.300127804279327
"FIN1009531",0.386567175388336
"FIN1009532",0.22947883605957
"FIN1009533",0.387426614761353
"FIN1009534",0.213600099086761
"FIN1009535",0.390899121761322
"FIN1009536",0.422516167163849
"FIN1009537",0.315485090017319
"FIN1009538",0.454082697629929
"FIN1009539",0.355265080928802
"FIN1009540",0.346793740987778
"FIN1009541",0.402310460805893
"FIN1009542",0.314557015895844
"FIN1009543",0.330729633569717
"FIN1009544",0.695029377937317
"FIN1009545",0.359097838401794
"FIN1009546",0.301053583621979
"FIN1009547",0.209691315889359
"FIN1009548",0.513531982898712
"FIN1009549",0.258111178874969
"FIN1009550",0.425054371356964
"FIN1009551",0.668642997741699
"FIN1009552",0.375469177961349
"FIN1009553",0.381731867790222
"FIN1009554",0.684473693370819
"FIN1009555",0.355855524539948
"FIN1009556",0.547142028808594
"FIN1009557",0.335513234138489
"FIN1009558",0.266135036945343
"FIN1009559",0.327023983001709
"FIN1009560",0.316616475582123
"FIN1009561",0.355404794216156
"FIN1009562",0.398602932691574
"FIN1009563",0.384221881628036
"FIN1009564",0.646294236183167
"FIN1009565",0.328027427196503
"FIN1009566",0.362430453300476
"FIN1009567",0.601206660270691
"FIN1009568",0.3678118288517
"FIN1009569",0.425083130598068
"FIN1009570",0.430437207221985
"FIN1009571",0.299400985240936
"FIN1009572",0.380669802427292
"FIN1009573",0.351000487804413
"FIN1009574",0.401278495788574
"FIN1009575",0.326644897460938
"FIN1009576",0.357726603746414
"FIN1009577",0.304075956344604
"FIN1009578",0.343320697546005
"FIN1009579",0.35324090719223
"FIN1009580",0.331086933612823
"FIN1009581",0.339841306209564
"FIN1009582",0.3126540184021
"FIN1009583",0.305128276348114
"FIN1009584",0.470258325338364
"FIN1009585",0.46196722984314
"FIN1009586",0.32494455575943
"FIN1009587",0.269546508789062
"FIN1009588",0.43273338675499
"FIN1009589",0.311744332313538
"FIN1009590",0.321014970541
"FIN1009591",0.38625967502594
"FIN1009592",0.369060456752777
"FIN1009593",0.361203610897064
"FIN1009594",0.386764198541641
"FIN1009595",0.377715975046158
"FIN1009596",0.347173273563385
"FIN1009597",0.349353045225143
"FIN1009598",0.315590679645538
"FIN1009599",0.295335650444031
"FIN1009600",0.390847682952881
"FIN1009601",0.333814233541489
"FIN1009602",0.351045846939087
"FIN1009603",0.309580415487289
"FIN1009604",0.55227118730545
"FIN1009605",0.370626091957092
"FIN1009606",0.529710531234741
"FIN1009607",0.473962157964706
"FIN1009608",0.305953800678253
"FIN1009609",0.455583602190018
"FIN1009610",0.296733856201172
"FIN1009611",0.422666400671005
"FIN1009612",0.299862205982208
"FIN1009613",0.37217190861702
"FIN1009614",0.339367419481277
"FIN1009615",0.445997923612595
"FIN1009616",0.436301320791245
"FIN1009617",0.356992065906525
"FIN1009618",0.379284560680389
"FIN1009619",0.384733140468597
"FIN1009620",0.357291758060455
"FIN1009621",0.380807459354401
"FIN1009622",0.322511851787567
"FIN1009623",0.562677383422852
"FIN1009624",0.451924562454224
"FIN1009625",0.403079867362976
"FIN1009626",0.375610709190369
"FIN1009627",0.339584171772003
"FIN1009628",0.380730092525482
"FIN1009629",0.427381128072739
"FIN1009630",0.34562224149704
"FIN1009631",0.374944031238556
"FIN1009632",0.410547375679016
"FIN1009633",0.357309848070145
"FIN1009634",0.443770945072174
"FIN1009635",0.445078134536743
